xval,cpu,mem
0,0.0,74.0
235,2.6,74.0
1,2.3,74.0
236,5.2,73.9
2,4.5,73.9
237,3.9,74.0
3,4.1,74.0
238,3.3,73.9
4,2.9,73.9
239,2.2,73.9
5,2.3,73.9
240,3.4,73.9
6,3.2,73.9
241,0.6,73.9
7,0.6,73.9
242,1.5,73.9
8,1.5,73.9
243,0.8,73.9
9,0.8,73.9
244,1.7,73.9
10,2.0,73.9
245,2.9,73.9
11,2.4,73.9
246,2.6,73.9
12,3.2,73.9
247,3.7,73.9
13,4.1,73.9
248,4.5,73.9
14,3.7,73.9
249,2.1,73.9
15,2.4,73.9
250,2.8,73.9
16,3.1,73.9
251,4.3,73.8
17,4.3,73.9
252,3.6,73.9
18,3.4,73.9
253,1.7,73.8
19,1.5,73.9
254,2.2,73.8
20,2.9,73.8
255,3.4,73.8
21,3.0,73.8
256,4.7,73.8
22,4.2,73.8
257,3.6,73.7
23,4.0,73.7
258,2.0,73.7
24,1.8,73.6
259,1.2,73.7
25,1.7,73.7
260,2.8,73.6
26,2.4,73.6
261,3.2,73.7
27,2.8,73.6
262,1.8,73.6
28,2.1,73.6
263,3.1,73.7
29,3.7,73.7
264,5.4,73.8
30,4.8,73.8
265,2.1,73.8
31,1.5,73.8
266,2.2,73.8
32,3.5,73.8
267,3.2,73.8
33,2.6,73.8
268,5.1,73.8
34,5.5,73.9
269,2.3,73.9
35,1.4,73.9
270,3.5,73.8
36,4.6,73.9
271,5.8,74.1
37,5.4,74.1
272,6.8,74.5
38,7.0,74.5
273,2.5,74.6
39,1.6,74.6
274,4.2,74.6
40,5.7,74.5
275,8.2,74.8
41,7.6,74.9
276,5.1,75.0
42,5.5,75.0
277,6.8,75.3
43,5.7,75.3
278,1.4,75.3
44,1.1,75.3
279,0.5,75.3
45,1.1,75.3
280,2.9,75.3
46,2.9,75.3
281,2.7,75.2
47,3.2,75.2
282,3.9,75.2
48,4.1,75.2
283,3.4,75.2
49,2.3,75.2
284,0.6,75.2
50,1.2,75.2
285,3.2,75.2
51,3.4,75.2
286,3.5,75.2
52,3.4,75.2
287,3.8,75.2
53,3.7,75.2
288,2.0,75.1
54,1.4,75.1
289,1.7,75.1
55,2.1,75.1
290,2.9,75.1
56,3.7,75.1
291,2.9,75.1
57,1.7,75.1
292,2.2,75.1
58,3.1,75.1
293,3.5,75.1
59,2.8,75.1
294,2.0,75.1
60,2.0,75.1
295,2.6,75.1
61,2.9,75.1
